log_pl_id, uid, eid, log_ts, gid, cid, vid, client_ip, pl_detail, cd_id, sessionid, client_ts, host_domain, referrer_host, referrer_path, multiplayer_seqid
835, C20EBF01-C226-51AF-ABBB-E1038B576EC9, 0, 1653348153, 202207, 2, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/98.0.4758.102 Safari\/537.36"}, 0, 11B5FDF7-E664-D11A-40D8-11CE7A19AD61, 1653350620830, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
836, 9429EF04-5580-8569-64F7-586CDE4332BE, 0, 1653348672, 202207, 2, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/101.0.4951.64 Safari\/537.36 Edg\/101.0.1210.53"}, 0, 756227CE-0F87-202A-EA4B-40CC07E69D50, 1653351140028, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
837, B946F118-ED3A-6369-5D11-6F69F0AFD2DC, 0, 1653349056, 202207, 2, 1, 82.27.242.148, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/101.0.4951.67 Safari\/537.36"}, 0, B0D3B482-6C1B-D51F-24AE-9DE7E94CEA7B, 1653351523798, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
838, F0AEE323-4D70-580E-0F55-CFF300D257F7, 0, 1653350207, 202207, 2, 1, 202.81.237.75, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/96.0.4664.45 Safari\/537.36"}, 0, E1950481-CED7-A7D5-FE22-D11C82793A02, 1653352671529, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
839, 567CDF89-0A13-9E6B-24BE-06BE4FB21E23, 0, 1653350607, 202207, 2, 1, 67.168.175.246, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/101.0.0.0 Safari\/537.36"}, 0, 5D690198-DF77-F280-E1DA-7674A26AA2C3, 1653353074985, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
840, A838D8B0-BA81-4975-9CE0-4C2AB37F24BA, 0, 1653351880, 202207, 2, 1, 216.243.61.200, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/101.0.4951.64 Safari\/537.36"}, 0, 278C4055-82E4-5252-BAAF-D2813742011A, 1653354348360, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
842, 70756D8B-4256-7908-14B4-DB2AB46B8E39, 0, 1653352553, 202207, 2, 1, 73.97.151.251, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/605.1.15 (KHTML, like Gecko) Version\/15.4 Safari\/605.1.15"}, 0, 1EC860E1-B68A-F860-505F-44102EC9BFC5, 1653355021145, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
843, F39AC604-20F8-6839-2B18-98067DCBA956, 0, 1653352586, 202207, 2, 1, 73.97.151.251, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/101.0.4951.64 Safari\/537.36"}, 0, D2EF4206-F9BB-4E58-D815-238ACF065D11, 1653355053918, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
847, BBCEDF14-9BE6-36BD-EC26-E2FB655F5CA5, 0, 1653356162, 202207, 2, 1, 24.19.161.85, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/101.0.4951.67 Safari\/537.36"}, 0, B57AD963-0018-3D6F-745D-A930F426ACC4, 1653358629670, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
857, 27B8F863-01B9-435A-DCD0-6888F690B6FB, 0, 1653368689, 202207, 2, 1, 76.22.117.197, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/101.0.4951.67 Safari\/537.36"}, 0, 7C42D91D-A3B9-4D04-9C67-F282C4650C55, 1653371158295, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
